cf1,cf2
0.399,0.000
0.368,0.000
0.327,0.000
0.271,0.000
0.228,0.000
0.177,0.000
0.136,0.000
0.114,0.000
0.099,0.000
0.080,0.009
0.061,0.036
0.053,0.063
0.053,0.075
0.055,0.067
0.060,0.043
0.079,0.015
0.106,0.000
0.122,0.000
0.128,0.000
0.130,0.000
0.129,0.000
0.125,0.000
0.113,0.000
0.099,0.000
0.088,0.000
0.082,0.000
0.086,0.000
0.103,0.000
0.129,0.000
0.151,0.000
0.162,0.000
0.156,0.000
0.150,0.000
0.143,0.007
0.132,0.043
0.119,0.082
0.106,0.101
0.099,0.087
0.103,0.047
0.124,0.019
0.150,0.000
0.166,0.000
0.176,0.000
0.186,0.000
0.192,0.000
0.193,0.000
0.185,0.000
0.175,0.000
0.152,0.000
0.148,0.000
0.137,0.000
0.148,0.000
0.164,0.000
0.184,0.000
0.189,0.000
0.189,0.000
0.196,0.000
0.184,0.014
0.178,0.064
0.193,0.147
0.191,0.294
0.188,0.308
0.193,0.191
0.216,0.079
0.223,0.002
0.237,0.000
0.232,0.000
0.227,0.000
0.217,0.000
0.203,0.000
0.198,0.000
0.217,0.000
0.204,0.000
0.195,0.000
0.203,0.000
0.205,0.000
0.207,0.000
0.209,0.000
0.223,0.000
0.247,0.000
0.268,0.000
0.270,0.053
0.230,0.168
0.203,0.147
0.192,0.131
0.179,0.120
0.169,0.112
0.179,0.073
0.201,0.002
0.221,0.000
0.243,0.000
0.251,0.000
0.238,0.000
0.237,0.000
0.252,0.000
0.269,0.000
0.291,0.000
0.335,0.000
0.354,0.000
0.314,0.000
0.268,0.000
0.259,0.000
0.238,0.000
0.252,0.000
0.255,0.000
0.244,0.005
0.229,0.023
0.223,0.035
0.235,0.034
0.250,0.024
0.291,0.014
0.297,0.006
0.301,0.000
0.302,0.000
0.325,0.000
0.325,0.000
0.319,0.000
0.299,0.000
0.325,0.000
0.321,0.000
0.305,0.000
0.282,0.000
0.260,0.000
0.230,0.000
0.198,0.000
0.158,0.000
0.115,0.000
0.091,0.000
0.098,0.000
0.127,0.005
0.149,0.023
0.162,0.027
0.178,0.036
0.204,0.046
0.262,0.031
0.343,0.010
0.395,0.000
0.412,0.000
0.428,0.000
0.424,0.000
0.435,0.000
0.456,0.000
0.494,0.000
0.565,0.000
0.619,0.000
