hour	cf
1	0.399
2	0.368
3	0.327
4	0.271
5	0.228
6	0.177
7	0.136
8	0.114
9	0.099
10	0.08
11	0.061
12	0.053
13	0.053
14	0.055
15	0.06
16	0.079
17	0.106
18	0.122
19	0.128
20	0.13
21	0.129
22	0.125
23	0.113
24	0.099
25	0.088
26	0.082
27	0.086
28	0.103
29	0.129
30	0.151
31	0.162
32	0.156
33	0.15
34	0.143
35	0.132
36	0.119
37	0.106
38	0.099
39	0.103
40	0.124
41	0.15
42	0.166
43	0.176
44	0.186
45	0.192
46	0.193
47	0.185
48	0.175
49	0.152
50	0.148
51	0.137
52	0.148
53	0.164
54	0.184
55	0.189
56	0.189
57	0.196
58	0.184
59	0.178
60	0.193
61	0.191
62	0.188
63	0.193
64	0.216
65	0.223
66	0.237
67	0.232
68	0.227
69	0.217
70	0.203
71	0.198
72	0.217
73	0.204
74	0.195
75	0.203
76	0.205
77	0.207
78	0.209
79	0.223
80	0.247
81	0.268
82	0.27
83	0.23
84	0.203
85	0.192
86	0.179
87	0.169
88	0.179
89	0.201
90	0.221
91	0.243
92	0.251
93	0.238
94	0.237
95	0.252
96	0.269
97	0.291
98	0.335
99	0.354
100	0.314
101	0.268
102	0.259
103	0.238
104	0.252
105	0.255
106	0.244
107	0.229
108	0.223
109	0.235
110	0.25
111	0.291
112	0.297
113	0.301
114	0.302
115	0.325
116	0.325
117	0.319
118	0.299
119	0.325
120	0.321
121	0.305
122	0.282
123	0.26
124	0.23
125	0.198
126	0.158
127	0.115
128	0.091
129	0.098
130	0.127
131	0.149
132	0.162
133	0.178
134	0.204
135	0.262
136	0.343
137	0.395
138	0.412
139	0.428
140	0.424
141	0.435
142	0.456
143	0.494
144	0.565
145	0.619
146	0.588
147	0.616
148	0.663
149	0.826
150	0.867
151	0.886
152	0.881
153	0.864
154	0.826
155	0.769
156	0.692
157	0.71
158	0.701
159	0.689
160	0.652
161	0.61
162	0.548
163	0.493
164	0.465
165	0.452
166	0.464
167	0.483
168	0.506
169	0.52
170	0.515
171	0.499
172	0.462
173	0.416
174	0.353
175	0.298
176	0.276
177	0.272
178	0.285
179	0.25
180	0.207
181	0.22
182	0.227
183	0.227
184	0.221
185	0.232
186	0.221
187	0.191
188	0.174
189	0.155
190	0.138
191	0.108
192	0.078
193	0.053
194	0.039
195	0.028
196	0.013
197	0.011
198	0.014
199	0.013
200	0.011
201	0.007
202	0.008
203	0.007
204	0.003
205	0.005
206	0.009
207	0.022
208	0.045
209	0.066
210	0.081
211	0.112
212	0.144
213	0.203
214	0.254
215	0.283
216	0.281
217	0.256
218	0.222
219	0.192
220	0.197
221	0.187
222	0.185
223	0.191
224	0.189
225	0.194
226	0.194
227	0.192
228	0.174
229	0.14
230	0.138
231	0.146
232	0.171
233	0.195
234	0.198
235	0.193
236	0.189
237	0.184
238	0.184
239	0.175
240	0.163
241	0.159
242	0.164
243	0.17
244	0.162
245	0.151
246	0.151
247	0.162
248	0.179
249	0.198
250	0.215
251	0.198
252	0.164
253	0.193
254	0.189
255	0.184
256	0.223
257	0.291
258	0.331
259	0.415
260	0.437
261	0.487
262	0.592
263	0.659
264	0.659
265	0.71
266	0.701
267	0.709
268	0.709
269	0.692
270	0.674
271	0.642
272	0.6
273	0.618
274	0.663
275	0.686
276	0.752
277	0.773
278	0.788
279	0.778
280	0.76
281	0.767
282	0.797
283	0.81
284	0.797
285	0.728
286	0.74
287	0.797
288	0.855
289	0.868
290	0.868
291	0.862
292	0.867
293	0.84
294	0.829
295	0.831
296	0.841
297	0.854
298	0.853
299	0.855
300	0.86
301	0.875
302	0.881
303	0.875
304	0.857
305	0.842
306	0.828
307	0.819
308	0.824
309	0.802
310	0.785
311	0.726
312	0.692
313	0.687
314	0.663
315	0.606
316	0.524
317	0.452
318	0.386
319	0.352
320	0.33
321	0.301
322	0.263
323	0.221
324	0.213
325	0.27
326	0.336
327	0.373
328	0.408
